dataset_name;1;2;3;4;5;best;gap_1;gap_2;gap_3;gap_4;gap_5
217vm1084_v4_p2;54712;54712;54712;54712;54712;54712;0;0;0;0;0
21eil101_v2_p1;93;93;93;93;93;93;0;0;0;0;0
21eil101_v2_p2;4714;4714;4714;4714;4714;4714;0;0;0;0;0
21eil101_v3_p1;91;91;91;91;90;91;0;0;0;0;0,010989011
21eil101_v3_p2;4672;4672;4672;4672;4672;4672;0;0;0;0;0
21eil101_v4_p1;97;97;97;97;97;97;0;0;0;0;0
21eil101_v4_p2;4993;4993;4993;4993;4993;4993;0;0;0;0;0
21lin105_v2_p1;73;73;73;73;73;73;0;0;0;0;0
21lin105_v2_p2;3704;3704;3704;3704;3704;3704;0;0;0;0;0
21lin105_v3_p1;59;59;59;59;59;59;0;0;0;0;0
21lin105_v3_p2;3011;3011;3011;3011;3011;3011;0;0;0;0;0
21lin105_v4_p1;61;61;61;61;61;61;0;0;0;0;0
21lin105_v4_p2;3082;3082;3082;3082;3082;3082;0;0;0;0;0
22pr107_v2_p1;53;53;53;53;53;53;0;0;0;0;0
22pr107_v2_p2;2697;2697;2697;2697;2697;2697;0;0;0;0;0
22pr107_v3_p1;41;41;41;41;41;41;0;0;0;0;0
22pr107_v3_p2;2123;2123;2123;2123;2123;2123;0;0;0;0;0
22pr107_v4_p1;41;41;41;41;41;41;0;0;0;0;0
22pr107_v4_p2;2123;2123;2123;2123;2123;2123;0;0;0;0;0
25pr124_v2_p1;97;97;97;97;97;97;0;0;0;0;0
25pr124_v2_p2;4860;4860;4860;4860;4860;4860;0;0;0;0;0
25pr124_v3_p1;90;90;90;90;90;90;0;0;0;0;0
25pr124_v3_p2;4584;4584;4584;4584;4584;4584;0;0;0;0;0
25pr124_v4_p1;90;90;90;90;90;90;0;0;0;0;0
25pr124_v4_p2;4584;4584;4584;4584;4584;4584;0;0;0;0;0
26bier127_v2_p1;124;124;124;124;124;124;0;0;0;0;0
26bier127_v2_p2;6241;6241;6249;6249;6249;6249;0,001280205;0,001280205;0;0;0
26bier127_v3_p1;125;125;125;125;125;125;0;0;0;0;0
26bier127_v3_p2;6314;6314;6314;6314;6314;6314;0;0;0;0;0
26bier127_v4_p1;126;126;126;126;126;126;0;0;0;0;0
26bier127_v4_p2;6333;6333;6333;6333;6333;6333;0;0;0;0;0
26ch130_v2_p1;117;117;117;117;116;117;0;0;0;0;0,008547009
