dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\20kroC100_v4_p2.msop;2750;2750;2750;2750;2750;2750;2750;2750;2750;2750;2750;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\20kroD100_v4_p1.msop;50;50;50;50;50;50;50;50;50;50;50;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\20kroD100_v4_p2.msop;2319;2319;2319;2319;2319;2319;2319;2319;2319;2319;2319;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\20kroE100_v4_p1.msop;55;55;55;55;55;55;55;55;55;55;55;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\20kroE100_v4_p2.msop;2554;2554;2554;2554;2554;2554;2554;2554;2554;2554;2554;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\20rat99_v4_p1.msop;30;30;30;30;30;30;30;30;30;30;30;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\20rat99_v4_p2.msop;1470;1470;1470;1470;1470;1470;1470;1470;1470;1470;1470;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\20rd100_v4_p1.msop;50;50;50;50;50;50;50;50;50;50;50;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\20rd100_v4_p2.msop;2520;2520;2520;2520;2520;2520;2520;2520;2520;2520;2520;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\212u1060_v4_p1.msop;1006;989;1003;988;998;1000;999;986;1006;989;1006;0;0,016898608;0,002982107;0,017892644;0,007952286;0,005964215;0,00695825;0,019880716;0;0,016898608;0,009542744;0,480000016;1;0;0;0;0;0;0;0;1;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\212u1060_v4_p2.msop;50501;50133;50061;50723;50092;50510;50275;50527;50560;50616;50723;0,004376713;0,011631804;0,013051279;0;0,012440116;0,004199278;0,008832285;0,003864125;0,003213532;0,002109497;0,006371863;0,488217515;0;0;0;1;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\217vm1084_v4_p1.msop;1074;1077;1073;1074;1079;1071;1079;1080;1074;1080;1080;0,005555556;0,002777778;0,006481481;0,005555556;0,000925926;0,008333333;0,000925926;0;0,005555556;0;0,003611111;0,433333337;0;0;0;0;0;0;0;1;0;1;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\217vm1084_v4_p2.msop;54483;54468;54258;54499;54626;54389;54581;54548;54397;54548;54626;0,002617801;0,002892396;0,006736719;0,0023249;0;0,004338593;0,000823784;0,001427891;0,004192143;0,001427891;0,002678212;0,397554358;0;0;0;0;1;0;0;0;0;0;1
