dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\25pr124_v4_p2.msop;4856;4856;4856;4856;4856;4856;4856;4856;4856;4856
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\26bier127_v4_p1.msop;126;126;126;126;126;126;126;126;126;126
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\26bier127_v4_p2.msop;6333;6333;6333;6333;6333;6333;6333;6333;6333;6333
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\26ch130_v4_p1.msop;127;129;127;127;129;127;129;127;127;129
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\26ch130_v4_p2.msop;6373;6503;6503;6373;6418;6503;6373;6412;6373;6373
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\28pr136_v4_p1.msop;110;110;110;108;110;110;110;110;110;110
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\28pr136_v4_p2.msop;5549;5549;5549;5549;5549;5549;5549;5549;5549;5549
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\29pr144_v4_p1.msop;113;113;113;111;113;113;113;113;113;113
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\29pr144_v4_p2.msop;5727;5727;5727;5727;5727;5727;5727;5727;5727;5727
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\30ch150_v4_p1.msop;131;134;134;130;130;130;131;130;134;134
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\30ch150_v4_p2.msop;6775;6662;6669;6775;6775;6662;6775;6775;6775;6662
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\30kroA150_v4_p1.msop;138;138;138;140;138;138;138;138;140;138
