dataset_name;obj_1;duration_1;obj_2;duration_2;obj_3;duration_3;obj_4;duration_4;obj_5;duration_5;;d1;d2;d3; d4;d5
21eil101_v3_p2;4672;0,166;4672;0,155;4672;0,167;4672;0,161;4672;0,163;;0,17;0,16;0,17;0,16;0,16
21eil101_v4_p1;97;0,209;97;0,218;97;0,214;97;0,246;97;0,256;;0,21;0,22;0,21;0,25;0,26
21eil101_v4_p2;4993;0,233;4993;0,231;4993;0,21;4993;0,206;4993;0,239;;0,23;0,23;0,21;0,21;0,24
21lin105_v2_p1;73;0,184;73;0,197;73;0,179;73;0,218;73;0,172;;0,18;0,20;0,18;0,22;0,17
21lin105_v2_p2;3704;0,192;3704;0,167;3704;0,17;3704;0,174;3704;0,159;;0,19;0,17;0,17;0,17;0,16
21lin105_v3_p1;59;0,18;59;0,173;59;0,174;59;0,181;59;0,18;;0,18;0,17;0,17;0,18;0,18
21lin105_v3_p2;3011;0,19;3011;0,189;3011;0,183;3011;0,187;3011;0,185;;0,19;0,19;0,18;0,19;0,19
21lin105_v4_p1;61;0,215;61;0,209;61;0,214;61;0,22;61;0,213;;0,22;0,21;0,21;0,22;0,21
21lin105_v4_p2;3082;0,217;3082;0,209;3082;0,207;3082;0,208;3082;0,226;;0,22;0,21;0,21;0,21;0,23
22pr107_v2_p1;53;0,152;53;0,148;53;0,148;53;0,154;53;0,15;;0,15;0,15;0,15;0,15;0,15
22pr107_v2_p2;2697;0,151;2697;0,147;2697;0,149;2697;0,147;2697;0,148;;0,15;0,15;0,15;0,15;0,15
22pr107_v3_p1;41;0,174;41;0,17;41;0,172;41;0,171;41;0,173;;0,17;0,17;0,17;0,17;0,17
22pr107_v3_p2;2123;0,177;2123;0,171;2123;0,175;2123;0,175;2123;0,173;;0,18;0,17;0,18;0,18;0,17
22pr107_v4_p1;41;0,201;41;0,2;41;0,199;41;0,2;41;0,2;;0,20;0,20;0,20;0,20;0,20
22pr107_v4_p2;2123;0,207;2123;0,209;2123;0,206;2123;0,201;2123;0,201;;0,21;0,21;0,21;0,20;0,20
25pr124_v2_p1;97;0,235;97;0,23;97;0,233;97;0,232;97;0,229;;0,24;0,23;0,23;0,23;0,23
25pr124_v2_p2;4860;0,236;4860;0,237;4860;0,239;4860;0,237;4860;0,241;;0,24;0,24;0,24;0,24;0,24
25pr124_v3_p1;90;0,268;90;0,267;90;0,263;90;0,26;90;0,268;;0,27;0,27;0,26;0,26;0,27
25pr124_v3_p2;4584;0,281;4584;0,274;4584;0,277;4584;0,272;4584;0,28;;0,28;0,27;0,28;0,27;0,28
25pr124_v4_p1;90;0,304;90;0,297;90;0,299;90;0,302;90;0,299;;0,30;0,30;0,30;0,30;0,30
25pr124_v4_p2;4584;0,31;4584;0,302;4584;0,304;4584;0,304;4584;0,299;;0,31;0,30;0,30;0,30;0,30
26bier127_v2_p1;124;0,257;124;0,226;124;0,222;124;0,267;124;0,231;;0,26;0,23;0,22;0,27;0,23
26bier127_v2_p2;6249;0,256;6236;0,253;6236;0,284;6249;0,243;6241;0,311;;0,26;0,25;0,28;0,24;0,31
26bier127_v3_p1;125;0,321;125;0,297;125;0,329;125;0,285;125;0,323;;0,32;0,30;0,33;0,29;0,32
26bier127_v3_p2;6314;0,32;6314;0,351;6314;0,29;6314;0,292;6314;0,271;;0,32;0,35;0,29;0,29;0,27
26bier127_v4_p1;126;0,307;126;0,334;126;0,325;126;0,302;126;0,308;;0,31;0,33;0,33;0,30;0,31
26bier127_v4_p2;6333;0,309;6333;0,286;6333;0,308;6333;0,31;6333;0,302;;0,31;0,29;0,31;0,31;0,30
26ch130_v2_p1;116;0,292;116;0,279;117;0,317;117;0,306;117;0,264;;0,29;0,28;0,32;0,31;0,26
26ch130_v2_p2;5934;0,289;5895;0,325;5940;0,318;5934;0,283;5934;0,358;;0,29;0,33;0,32;0,28;0,36
26ch130_v3_p1;122;0,294;122;0,286;122;0,336;122;0,342;122;0,309;;0,29;0,29;0,34;0,34;0,31
26ch130_v3_p2;6150;0,38;6150;0,319;6150;0,355;6150;0,335;6150;0,309;;0,38;0,32;0,36;0,34;0,31
26ch130_v4_p1;124;0,316;124;0,317;124;0,326;124;0,304;124;0,324;;0,32;0,32;0,33;0,30;0,32
26ch130_v4_p2;6280;0,312;6280;0,309;6280;0,303;6280;0,315;6280;0,319;;0,31;0,31;0,30;0,32;0,32
28pr136_v2_p1;103;0,325;103;0,349;103;0,315;103;0,368;103;0,318;;0,33;0,35;0,32;0,37;0,32
28pr136_v2_p2;5260;0,366;5260;0,314;5260;0,364;5260;0,326;5260;0,352;;0,37;0,31;0,36;0,33;0,35
28pr136_v3_p1;90;0,441;90;0,363;90;0,405;90;0,374;90;0,367;;0,44;0,36;0,41;0,37;0,37
28pr136_v3_p2;4464;0,409;4464;0,489;4464;0,394;4464;0,399;4464;0,394;;0,41;0,49;0,39;0,40;0,39
28pr136_v4_p1;98;0,432;98;0,52;98;0,614;98;0,557;98;0,496;;0,43;0,52;0,61;0,56;0,50
28pr136_v4_p2;4798;0,402;4840;0,475;4840;0,443;4840;0,471;4798;0,4;;0,40;0,48;0,44;0,47;0,40
29pr144_v2_p1;112;0,438;112;0,434;112;0,451;112;0,479;112;0,415;;0,44;0,43;0,45;0,48;0,42
29pr144_v2_p2;5662;0,421;5662;0,384;5662;0,428;5662;0,371;5662;0,427;;0,42;0,38;0,43;0,37;0,43
29pr144_v3_p1;103;0,4;103;0,406;103;0,394;103;0,404;103;0,401;;0,40;0,41;0,39;0,40;0,40
29pr144_v3_p2;5218;0,436;5218;0,433;5218;0,414;5218;0,421;5218;0,41;;0,44;0,43;0,41;0,42;0,41
29pr144_v4_p1;111;0,507;111;0,505;111;0,511;111;0,559;111;0,525;;0,51;0,51;0,51;0,56;0,53
29pr144_v4_p2;5622;0,46;5622;0,463;5622;0,48;5622;0,488;5622;0,501;;0,46;0,46;0,48;0,49;0,50
30ch150_v2_p1;123;0,48;123;0,414;123;0,445;123;0,392;123;0,389;;0,48;0,41;0,45;0,39;0,39
30ch150_v2_p2;6024;0,372;6024;0,355;6024;0,399;6024;0,379;6024;0,423;;0,37;0,36;0,40;0,38;0,42
30ch150_v3_p1;111;0,574;111;0,583;111;0,518;111;0,436;111;0,454;;0,57;0,58;0,52;0,44;0,45
30ch150_v3_p2;5531;0,448;5531;0,446;5531;0,432;5531;0,454;5531;0,423;;0,45;0,45;0,43;0,45;0,42
