dataset_name;a;a;a;obj_1;duration_1;obj_2;duration_2;obj_3;duration_3;obj_4;duration_4;obj_5;duration_5;best;gap_1;gap_2;gap_3;gap_4;gap_5;average_gap;avg_avg_gap;duration_1;duration_2;duration_3;duration_4;duration_5;
20rd100_v3_p1;20rd100_;v3_;p1;67;91,25;67;128,564;67;99,503;67;72,844;67;138,02;67;0;0;0;0;0;0;;91,247;128,564;99,503;72,844;138,017;106,035
212u1060_v3_p1;212u1060_;v3_;p1;1058;53,85;1058;55;1058;54;1057;53,755;1058;54,99;1058;0;0;0;0,00094518;0;0,000189036;;53,852;54,81;54,365;0;54,986;54,50325
217vm1084_v3_p1;217vm1084_;v3_;p1;1083;54,31;1083;55;1083;56;1083;54;1083;55,54;1083;0;0;0;0;0;0;;54,314;55,287;55,772;54,46;55,542;55,075
21eil101_v3_p1;21eil101_;v3_;p1;90;0,16;91;0,138;91;0,217;90;0,168;91;0,22;91;0,010989011;0;0;0,010989011;0;0,004395604;;0;0,138;0,217;0;0,22;0,191666667
21lin105_v3_p1;21lin105_;v3_;p1;59;0,21;59;0,208;59;0,176;59;0,214;59;0,22;59;0;0;0;0;0;0;;0,214;0,208;0,176;0,214;0,217;0,2058
22pr107_v3_p1;22pr107_;v3_;p1;41;0,19;41;0,197;41;0,192;41;0,19;41;0,21;41;0;0;0;0;0;0;;0,187;0,197;0,192;0,19;0,209;0,195
25pr124_v3_p1;25pr124_;v3_;p1;90;0,22;90;0,224;90;0,167;90;0,179;90;0,25;90;0;0;0;0;0;0;;0,217;0,224;0,167;0,179;0,254;0,2082
26bier127_v3_p1;26bier127_;v3_;p1;125;0,20;125;0,187;125;0,189;125;0,187;125;0,19;125;0;0;0;0;0;0;;0,198;0,187;0,189;0,187;0,189;0,19
26ch130_v3_p1;26ch130_;v3_;p1;122;0,19;122;0,188;122;0,194;122;0,194;122;0,19;122;0;0;0;0;0;0;;0,192;0,188;0,194;0,194;0,193;0,1922
28pr136_v3_p1;28pr136_;v3_;p1;90;0,15;90;0,141;90;0,138;90;0,137;90;0,14;90;0;0;0;0;0;0;;0,145;0,141;0,138;0,137;0,137;0,1396
29pr144_v3_p1;29pr144_;v3_;p1;103;0,15;103;0,139;103;0,146;103;0,145;103;0,14;103;0;0;0;0;0;0;;0,147;0,139;0,146;0,145;0,14;0,1434
30ch150_v3_p1;30ch150_;v3_;p1;111;0,21;111;0,218;111;0,177;111;0,194;111;0,17;111;0;0;0;0;0;0;;0,214;0,218;0,177;0,194;0,174;0,1954
30kroA150_v3_p1;30kroA150_;v3_;p1;125;0,17;125;0,179;125;0,165;125;0,215;125;0,18;125;0;0;0;0;0;0;;0,168;0,179;0,165;0,215;0,178;0,181
30kroB150_v3_p1;30kroB150_;v3_;p1;130;0,19;130;0,188;130;0,185;130;0,182;130;0,19;130;0;0;0;0;0;0;;0,189;0,188;0,185;0,182;0,186;0,186
31pr152_v3_p1;31pr152_;v3_;p1;96;0,19;96;0,189;96;0,188;96;0,185;96;0,18;96;0;0;0;0;0;0;;0,187;0,189;0,188;0,185;0,184;0,1866
32u159_v3_p1;32u159_;v3_;p1;107;0,15;107;0,147;107;0,146;107;0,142;107;0,14;107;0;0;0;0;0;0;;0,15;0,147;0,146;0,142;0,141;0,1452
39rat195_v3_p1;39rat195_;v3_;p1;122;0,17;122;0,151;122;0,157;122;0,163;122;0,16;122;0;0;0;0;0;0;;0,165;0,151;0,157;0,163;0,156;0,1584
40d198_v3_p1;40d198_;v3_;p1;94;0,17;94;0,168;94;0,17;94;0,167;94;0,17;94;0;0;0;0;0;0;;0,172;0,168;0,17;0,167;0,17;0,1694
40kroa200_v3_p1;40kroa200_;v3_;p1;182;0,17;182;0;182;0,167;182;0,164;180;0,17;182;0;0;0;0;0,010989011;0,002197802;;0,172;0,175;0,167;0,164;0;0,1695
40krob200_v3_p1;40krob200_;v3_;p1;170;0,19;170;0,193;170;0;170;0;170;0,19;170;0;0;0;0;0;0;;0,19;0,193;0,191;0,19;0,191;0,191
45ts225_v3_p1;45ts225_;v3_;p1;179;0,20;179;0;179;0;179;0;179;0,19;179;0;0;0;0;0;0;;0,198;0,19;0,194;0,194;0,19;0,1932
45tsp225_v3_p1;45tsp225_;v3_;p1;150;0,16;148;0;147;0;148;0;148;0,15;150;0;0,013333333;0,02;0,013333333;0,013333333;0,012;;0,156;0;0;0;0;0,156
