dataset_name;a;a;a;obj_1;duration_1;obj_2;duration_2;obj_3;duration_3;obj_4;duration_4;obj_5;duration_5;best;gap_1;gap_2;gap_3;gap_4;gap_5;average_gap;avg_avg_gap;duration_1;duration_2;duration_3;duration_4;duration_5;
20rd100_v4_p2;20rd100_;v4_;p2;3467;4,68;3467;3,941;3467;4,34;3467;5,539;3467;5,14;3467;0;0;0;0;0;0;;4,68;3,941;4,34;5,539;5,14;4,728
212u1060_v4_p2;212u1060_;v4_;p2;53548;3,78;53548;4;53548;3;53548;3;53548;3,08;53548;0;0;0;0;0;0;;3,78;4,08;3,265;3,268;3,082;3,495
217vm1084_v4_p2;217vm1084_;v4_;p2;54712;2,80;54712;3;54712;3;54712;3;54712;3,13;54712;0;0;0;0;0;0;;2,803;3,134;3,375;2,894;3,133;3,0678
21eil101_v4_p2;21eil101_;v4_;p2;4993;7,72;4993;6,576;4993;6,342;4993;7,812;4993;7,22;4993;0;0;0;0;0;0;;7,724;6,576;6,342;7,812;7,217;7,1342
21lin105_v4_p2;21lin105_;v4_;p2;3082;7,29;3082;10,012;3082;7,407;3082;7,519;3082;5,72;3082;0;0;0;0;0;0;;7,293;10,012;7,407;7,519;5,717;7,5896
22pr107_v4_p2;22pr107_;v4_;p2;2123;6,26;2123;5,555;2123;5,919;2123;6,361;2123;5,76;2123;0;0;0;0;0;0;;6,26;5,555;5,919;6,361;5,759;5,9708
25pr124_v4_p2;25pr124_;v4_;p2;4584;7,34;4584;6,572;4584;7,587;4584;6,048;4584;6,88;4584;0;0;0;0;0;0;;7,344;6,572;7,587;6,048;6,884;6,887
26bier127_v4_p2;26bier127_;v4_;p2;6333;4,53;6333;4,585;6333;4,522;6333;4,565;6333;4,50;6333;0;0;0;0;0;0;;4,532;4,585;4,522;4,565;4,501;4,541
26ch130_v4_p2;26ch130_;v4_;p2;6280;4,57;6280;4,537;6280;4,506;6280;4,55;6280;4,50;6280;0;0;0;0;0;0;;4,568;4,537;4,506;4,55;4,498;4,5318
28pr136_v4_p2;28pr136_;v4_;p2;4798;5,51;4840;5,132;4840;5,102;4840;6,034;4798;6,59;4840;0,008677686;0;0;0;0,008677686;0,003471074;;0;5,132;5,102;6,034;0;5,422666667
29pr144_v4_p2;29pr144_;v4_;p2;5622;8,47;5622;7,138;5622;6,293;5622;7,079;5622;8,74;5622;0;0;0;0;0;0;;8,469;7,138;6,293;7,079;8,74;7,5438
30ch150_v4_p2;30ch150_;v4_;p2;5828;11,36;5828;9,625;5828;11,975;5828;10,506;5828;9,63;5828;0;0;0;0;0;0;;11,359;9,625;11,975;10,506;9,633;10,6196
30kroA150_v4_p2;30kroA150_;v4_;p2;6780;12,15;6780;10,668;6780;9,699;6780;13,169;6780;13,40;6780;0;0;0;0;0;0;;12,153;10,668;9,699;13,169;13,397;11,8172
30kroB150_v4_p2;30kroB150_;v4_;p2;6800;7,93;6800;8,42;6800;6,843;6800;8,734;6800;7,91;6800;0;0;0;0;0;0;;7,926;8,42;6,843;8,734;7,908;7,9662
31pr152_v4_p2;31pr152_;v4_;p2;5387;11,85;5387;9,958;5387;8,63;5387;11,421;5387;8,47;5387;0;0;0;0;0;0;;11,853;9,958;8,63;11,421;8,467;10,0658
32u159_v4_p2;32u159_;v4_;p2;5573;6,46;5573;8,823;5573;8,517;5573;8,697;5573;8,03;5573;0;0;0;0;0;0;;6,46;8,823;8,517;8,697;8,025;8,1044
39rat195_v4_p2;39rat195_;v4_;p2;6149;8,85;6149;9,147;6149;8,82;6149;6,761;6149;9,53;6149;0;0;0;0;0;0;;8,85;9,147;8,82;6,761;9,528;8,6212
40d198_v4_p2;40d198_;v4_;p2;4713;7,20;4713;7,515;4713;6,252;4713;7,439;4713;8,68;4713;0;0;0;0;0;0;;7,196;7,515;6,252;7,439;8,682;7,4168
40kroa200_v4_p2;40kroa200_;v4_;p2;9664;7,90;9664;10;9664;7;9664;11,183;9664;9,79;9664;0;0;0;0;0;0;;7,901;9,586;7,321;11,183;9,788;9,1558
40krob200_v4_p2;40krob200_;v4_;p2;8704;7,32;8704;8;8704;7,526;8704;7;8704;7,08;8704;0;0;0;0;0;0;;7,315;8,057;7,526;6,962;7,076;7,3872
45ts225_v4_p2;45ts225_;v4_;p2;9740;6,03;9740;6;9740;7;9740;6;9740;6,20;9740;0;0;0;0;0;0;;6,029;5,796;6,914;6,442;6,202;6,2766
45tsp225_v4_p2;45tsp225_;v4_;p2;7821;12,44;7821;13;7821;9;7821;9;7821;9,76;7821;0;0;0;0;0;0;;12,437;12,614;9,138;8,947;9,757;10,5786
46pr226_v4_p2;46pr226_;v4_;p2;8509;14,73;8509;11;8509;13,819;8509;11,958;8509;10,89;8509;0;0;0;0;0;0;;14,733;11,025;13,819;11,958;10,894;12,4858
53gil262_v4_p2;53gil262_;v4_;p2;10338;12,19;10338;10;10327;10;10302;9;10338;11,78;10338;0;0;0,001064036;0,003482298;0;0,000909267;;12,185;9,552;0;0;11,775;11,17066667
53pr264_v4_p2;53pr264_;v4_;p2;6588;13,17;6588;15;6588;14;6588;12;6588;13,82;6588;0;0;0;0;0;0;;13,174;14,575;13,678;12,303;13,822;13,5104
56a280_v4_p2;56a280_;v4_;p2;9423;8,02;9423;8;9423;11;9423;10;9423;8,62;9423;0;0;0;0;0;0;;8,02;8,039;10,819;9,922;8,62;9,084
60pr299_v4_p2;60pr299_;v4_;p2;9085;8,35;9085;10;9085;8;9085;11;9085;8,50;9085;0;0;0;0;0;0;;8,348;9,505;8,196;11,311;8,502;9,1724
64lin318_v4_p2;64lin318_;v4_;p2;15459;10,55;15459;13;15459;10;15459;11;15459;9,73;15459;0;0;0;0;0;0;;10,545;12,932;10,227;10,66;9,726;10,818
80rd400_v4_p2;80rd400_;v4_;p2;20158;15,40;20158;13;20158;14;20158;12,499;20158;13,56;20158;0;0;0;0;0;0;;15,399;13,332;14,187;12,499;13,56;13,7954
84fl417_v4_p2;84fl417_;v4_;p2;18714;11,90;18747;14;18737;10,516;18712;13;18659;14,18;18747;0,001760282;0;0,000533419;0,001866965;0,004694084;0,00177095;;0;13,623;0;0;0;13,623
88pr439_v4_p2;88pr439_;v4_;p2;22177;12,65;22177;15;22177;19;22177;14;22177;23,45;22177;0;0;0;0;0;0;;12,645;14,767;18,696;13,593;23,454;16,631
89pcb442_v4_p2;89pcb442_;v4_;p2;22138;11,44;22118;12;22118;11;22118;12;22138;12,86;22138;0;0,000903424;0,000903424;0,000903424;0;0,000542054;;11,44;0;0;0;12,859;12,1495
99d493_v4_p2;99d493_;v4_;p2;22967;16,72;22832;16;22975;13;22927;12;22963;14,78;22975;0,000348205;0,006224157;0;0,002089227;0,000522307;0,001836779;;0;0;13,302;0;0;13,302
