;;MASOP;;;;;VNS-SOP;;;;;BRKGA;;;;;;
Instance;Best;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%;;Instances;Gap deviation
217vm1084_RND_T40_p1;1045;1020;1016,8;407,08;2,39%;;1045;1017,1;983,04;0,00%;;1033;1020,2;589,06;1,15%;;20kroA100_T80_p1;0
11berlin52_RND_T40_p2;2584;2584;2584;7,61;0,00%;;2584;2584;0,63;0,00%;;2584;2584;1,95;0,00%;;20kroB100_T80_p1;0
11eil51_RND_T40_p2;1929;1929;1929;1,78;0,00%;;1929;1929;0,48;0,00%;;1929;1929;1,53;0,00%;;20kroC100_T80_p1;0
14st70_RND_T40_p2;2736;2736;2736;6,76;0,00%;;2736;2736;0,85;0,00%;;2736;2736;1,58;0,00%;;20kroD100_T80_p1;0
16eil76_RND_T40_p2;2518;2518;2518;2,44;0,00%;;2518;2518;0,98;0,00%;;2518;2518;1,9;0,00%;;20kroE100_T80_p1;0
16pr76_RND_T40_p2;3550;3550;3550;5,21;0,00%;;3550;3550;1,3;0,00%;;3550;3550;2,17;0,00%;;20rat99_T80_p1;0
20kroA100_RND_T40_p2;3894;3434;3434;1,6;11,81%;;3894;3894;1,69;0,00%;;3894;3894;2,5;0,00%;;20rd100_T80_p1;0
20kroB100_RND_T40_p2;4357;4357;4357;2,41;0,00%;;4357;4357;2,14;0,00%;;4357;4357;2,51;0,00%;;21eil101_T80_p1;0
20kroC100_RND_T40_p2;3586;3586;3570,7;7,45;0,00%;;3586;3560,8;1,74;0,00%;;3586;3586;2,29;0,00%;;21lin105_T80_p1;0
20kroD100_RND_T40_p2;3799;3799;3799;7,43;0,00%;;3799;3749;2,51;0,00%;;3799;3799;2,4;0,00%;;22pr107_T80_p1;0
20kroE100_RND_T40_p2;4614;4614;4614;11,12;0,00%;;4614;4614;1,92;0,00%;;4614;4614;2,32;0,00%;;25pr124_T80_p1;0
20rat99_RND_T40_p2;3624;3624;3624;5,6;0,00%;;3624;3624;1,43;0,00%;;3624;3624;2,08;0,00%;;26bier127_T80_p1;0
20rd100_RND_T40_p2;4181;4038;4038;5,96;3,42%;;4181;4152,4;2,51;0,00%;;4038;4038;2,06;3,42%;;28pr136_T80_p1;0
21eil101_RND_T40_p2;4264;4264;4132,6;3,5;0,00%;;4264;4264;1,84;0,00%;;4264;4264;2,6;0,00%;;29pr144_T80_p1;0
21lin105_RND_T40_p2;4814;4814;4814;9,69;0,00%;;4814;4814;2,23;0,00%;;4814;4814;2,35;0,00%;;30ch150_T80_p1;0
22pr107_RND_T40_p2;4740;4740;4740;12,99;0,00%;;4740;4740;2,92;0,00%;;4740;4740;2,39;0,00%;;30kroA150_T80_p1;0
25pr124_RND_T40_p2;5035;5035;5028;8,33;0,00%;;5035;5035;3,93;0,00%;;5035;5031,5;3,12;0,00%;;30kroB150_T80_p1;0
26bier127_RND_T40_p2;6329;6329;6329;15,93;0,00%;;6329;6329;6,46;0,00%;;6329;6327,2;4,58;0,00%;;32u159_T80_p1;0
26ch130_RND_T40_p2;5630;5630;5297,9;4,18;0,00%;;5630;5630;3,95;0,00%;;5630;5630;3,64;0,00%;;39rat195_T80_p1;0
28pr136_RND_T40_p2;6106;6106;6106;4,96;0,00%;;6106;6106;4,42;0,00%;;6106;6106;3,29;0,00%;;40d198_T80_p1;0
29pr144_RND_T40_p2;6848;6848;6848;15,34;0,00%;;6848;6848;5,31;0,00%;;6848;6848;3,82;0,00%;;40kroa200_T80_p1;0
30ch150_RND_T40_p2;6025;5896;5792;6,7;2,14%;;6025;5765,8;4,73;0,00%;;5896;5886;3,88;2,14%;;40krob200_T80_p1;0
30kroA150_RND_T40_p2;5450;5399;5336,1;10,48;0,94%;;5450;5413,3;3,69;0,00%;;5450;5450;3,68;0,00%;;46pr226_T80_p1;0
30kroB150_RND_T40_p2;6255;6255;6198,3;7,48;0,00%;;6255;6128,4;4,42;0,00%;;6255;6235,7;4,3;0,00%;;53gil262_T80_p1;0
31pr152_RND_T40_p2;6928;6928;6928;14,55;0,00%;;6928;6928;6,84;0,00%;;6928;6928;3,65;0,00%;;56a280_T80_p1;0
32u159_RND_T40_p2;7507;7507;7507;13,62;0,00%;;7507;7507;5,25;0,00%;;7507;7507;3,84;0,00%;;64lin318_T80_p1;0
39rat195_RND_T40_p2;6813;6813;6813;6,29;0,00%;;6813;6803,1;7,13;0,00%;;6813;6813;3,83;0,00%;;131p654_T80_p1;0
40d198_RND_T40_p2;7412;7412;7412;7,3;0,00%;;7412;7412;6,15;0,00%;;7412;7412;3,33;0,00%;;11berlin52_T80_p2;0
40kroa200_RND_T40_p2;9014;9014;9014;11,96;0,00%;;9014;9014;9,37;0,00%;;9014;9014;6,47;0,00%;;11eil51_T80_p2;0
40krob200_RND_T40_p2;8315;8315;8224,6;12,05;0,00%;;8315;8132,1;9,82;0,00%;;8315;8186,3;5,81;0,00%;;14st70_T80_p2;0
45ts225_RND_T40_p2;9835;9835;9569,2;11,02;0,00%;;9835;9519,4;12,47;0,00%;;9835;9835;7,5;0,00%;;16eil76_T80_p2;0
45tsp225_RND_T40_p2;8373;8373;8373;10,93;0,00%;;8373;8370,1;12,46;0,00%;;8373;8373;5,44;0,00%;;16pr76_T80_p2;0
46pr226_RND_T40_p2;10322;10322;10322;25,97;0,00%;;10312;10312;16,54;0,10%;;10312;10308,6;7,09;0,10%;;20kroA100_T80_p2;0
53gil262_RND_T40_p2;10309;10309;10274,4;23,65;0,00%;;10309;10309;11,69;0,00%;;10309;10282,6;11,93;0,00%;;20kroB100_T80_p2;0
53pr264_RND_T40_p2;12304;12304;12297,4;36,7;0,00%;;12304;12198,4;41,15;0,00%;;12106;12106;6,19;1,61%;;20kroC100_T80_p2;0
56a280_RND_T40_p2;10285;10285;10275,5;15,99;0,00%;;10274;10191,3;17,82;0,11%;;10285;10168,6;8,03;0,00%;;20kroD100_T80_p2;0
60pr299_RND_T40_p2;12995;12995;12648,2;28,14;0,00%;;12995;12744,5;24,63;0,00%;;12995;12735,7;8,76;0,00%;;20kroE100_T80_p2;0
64lin318_RND_T40_p2;14743;14743;14721,1;38,27;0,00%;;14704;14604,8;48,71;0,26%;;14719;14587;24,14;0,16%;;20rat99_T80_p2;0
80rd400_RND_T40_p2;17917;17917;17772,4;36,47;0,00%;;17676;17245,5;61,83;1,35%;;17521;17238,6;34,67;2,21%;;20rd100_T80_p2;0
84fl417_RND_T40_p2;19107;19107;19107;281,52;0,00%;;19107;19101,6;128,36;0,00%;;19101;19101;26,79;0,03%;;21eil101_T80_p2;0
88pr439_RND_T40_p2;21815;21815;21765,3;58,43;0,00%;;21738;21598,9;117,49;0,35%;;21565;21433,9;58,84;1,15%;;21lin105_T80_p2;0
89pcb442_RND_T40_p2;18908;18449;18244,4;32,77;2,43%;;18702;18270;65,96;1,09%;;18908;18579,5;45,69;0,00%;;22pr107_T80_p2;0
99d493_RND_T40_p2;21030;20864;20610,8;58,98;0,79%;;20722;20410,7;87,41;1,46%;;21030;20548,9;51,27;0,00%;;25pr124_T80_p2;0
115rat575_RND_T40_p2;21167;21167;20671,2;53,04;0,00%;;20740;20145,5;82,91;2,02%;;20972;20534,5;58,8;0,92%;;26bier127_T80_p2;0
115u574_RND_T40_p2;25493;25493;25333,7;80,04;0,00%;;25016;24365,2;151,24;1,87%;;25451;24860,1;86,23;0,16%;;28pr136_T80_p2;0
131p654_RND_T40_p2;30212;30212;30212;3208,31;0,00%;;30212;30212;456,05;0,00%;;30212;30212;60,46;0,00%;;29pr144_T80_p2;0
132d657_RND_T40_p2;26772;26031;25657,6;113,91;2,77%;;25859;25530,8;139,22;3,41%;;26772;25825,5;102,82;0,00%;;30kroA150_T80_p2;0
145u724_RND_T40_p2;29997;29526;28946,1;179,53;1,57%;;29888;29040,2;229,45;0,36%;;29952;28776,4;139,95;0,15%;;30kroB150_T80_p2;0
157rat783_RND_T40_p2;29807;29807;29473;182,79;0,00%;;28314;27533,1;183,4;5,01%;;28992;28033,5;134,63;2,73%;;32u159_T80_p2;0
201pr1002_RND_T40_p2;44229;44229;43322,8;369,69;0,00%;;43615;42392,9;616,96;1,39%;;43320;42283,2;364,83;2,06%;;39rat195_T80_p2;0
212u1060_RND_T40_p2;48481;48481;48016,7;387,87;0,00%;;47330;46540,3;841,93;2,37%;;46705;45073,5;437,69;3,66%;;40d198_T80_p2;0
217vm1084_RND_T40_p2;52987;52987;52831,5;749,58;0,00%;;52335;51977,2;1001,42;1,23%;;52534;51640,4;563,33;0,85%;;40kroa200_T80_p2;0
11berlin52_RND_T60_p1;51;51;51;8,56;0,00%;;51;51;0,78;0,00%;;51;51;2,28;0,00%;;40krob200_T80_p2;0
11eil51_RND_T60_p1;50;50;50;6,58;0,00%;;50;50;0,66;0,00%;;50;50;1,91;0,00%;;45ts225_T80_p2;0
14st70_RND_T60_p1;64;64;64;8,14;0,00%;;64;64;1,08;0,00%;;64;64;1,87;0,00%;;46pr226_T80_p2;0
16eil76_RND_T60_p1;74;74;73,9;5,32;0,00%;;74;74;1,52;0,00%;;74;73,9;2,69;0,00%;;53gil262_T80_p2;0
16pr76_RND_T60_p1;74;74;74;11;0,00%;;74;74;1,78;0,00%;;74;74;2,42;0,00%;;53pr264_T80_p2;0
20kroA100_RND_T60_p1;98;98;97,3;10,53;0,00%;;96;95,9;3,17;2,04%;;96;96;3,38;2,04%;;60pr299_T80_p2;0
20kroB100_RND_T60_p1;98;98;96,8;10,52;0,00%;;98;93,5;2,81;0,00%;;98;96,5;3,38;0,00%;;64lin318_T80_p2;0
20kroC100_RND_T60_p1;93;93;92,7;9,53;0,00%;;93;90,8;2,83;0,00%;;93;92,6;3,54;0,00%;;11berlin52_RND_T40_p1;0
20kroD100_RND_T60_p1;93;93;93;9,21;0,00%;;93;93;2,58;0,00%;;93;93;3,03;0,00%;;14st70_RND_T40_p1;0
20kroE100_RND_T60_p1;97;97;97;13,22;0,00%;;97;97;3,07;0,00%;;97;97;2,9;0,00%;;16eil76_RND_T40_p1;0
20rat99_RND_T60_p1;87;87;87;7,47;0,00%;;87;87;2,19;0,00%;;87;87;2,71;0,00%;;16pr76_RND_T40_p1;0
20rd100_RND_T60_p1;99;99;98,5;11,69;0,00%;;99;99;2,71;0,00%;;99;99;3,27;0,00%;;20kroB100_RND_T40_p1;0
21eil101_RND_T60_p1;97;97;96,8;5,98;0,00%;;97;97;3,24;0,00%;;97;96,7;3,62;0,00%;;20kroC100_RND_T40_p1;0
21lin105_RND_T60_p1;104;104;104;13,84;0,00%;;104;104;2,94;0,00%;;104;104;2,3;0,00%;;20kroD100_RND_T40_p1;0
22pr107_RND_T60_p1;106;106;106;14,34;0,00%;;106;106;3,57;0,00%;;106;106;2,3;0,00%;;20kroE100_RND_T40_p1;0
25pr124_RND_T60_p1;119;119;119;11,65;0,00%;;119;119;4,42;0,00%;;119;118,6;4,23;0,00%;;20rat99_RND_T40_p1;0
26bier127_RND_T60_p1;126;126;126;20,85;0,00%;;126;126;5,98;0,00%;;126;126;3,14;0,00%;;21lin105_RND_T40_p1;0
26ch130_RND_T60_p1;127;127;125,9;10,4;0,00%;;127;127;5,18;0,00%;;127;126,8;4,6;0,00%;;22pr107_RND_T40_p1;0
28pr136_RND_T60_p1;132;132;131,7;12,94;0,00%;;129;129;5,43;2,27%;;129;129;4,22;2,27%;;25pr124_RND_T40_p1;0
29pr144_RND_T60_p1;141;141;141;17,22;0,00%;;141;141;7,45;0,00%;;141;141;4,79;0,00%;;26bier127_RND_T40_p1;0
30ch150_RND_T60_p1;145;145;144,7;11,69;0,00%;;145;145;7,03;0,00%;;145;144,5;5,85;0,00%;;26ch130_RND_T40_p1;0
30kroA150_RND_T60_p1;145;145;144,6;11,65;0,00%;;143;142,7;6,81;1,38%;;145;143,6;5,39;0,00%;;28pr136_RND_T40_p1;0
30kroB150_RND_T60_p1;147;147;147;17,82;0,00%;;147;147;7,6;0,00%;;147;147;5,78;0,00%;;29pr144_RND_T40_p1;0
31pr152_RND_T60_p1;151;151;150,7;22,73;0,00%;;151;151;7,85;0,00%;;150;150;5,76;0,66%;;30kroB150_RND_T40_p1;0
32u159_RND_T60_p1;156;156;156;15,3;0,00%;;156;156;9,55;0,00%;;156;155,2;6,83;0,00%;;31pr152_RND_T40_p1;0
39rat195_RND_T60_p1;178;178;175,6;10,9;0,00%;;175;175;9,85;1,69%;;178;174,6;7,01;0,00%;;32u159_RND_T40_p1;0
40d198_RND_T60_p1;196;196;196;22,1;0,00%;;196;196;17,07;0,00%;;196;194,2;8,23;0,00%;;39rat195_RND_T40_p1;0
40kroa200_RND_T60_p1;198;198;198;22,94;0,00%;;198;196,7;18,71;0,00%;;198;195,2;11,76;0,00%;;40kroa200_RND_T40_p1;0
40krob200_RND_T60_p1;198;198;197,5;25,28;0,00%;;198;194,1;17,35;0,00%;;197;194,9;12,31;0,51%;;45ts225_RND_T40_p1;0
45ts225_RND_T60_p1;224;224;224;28,02;0,00%;;224;224;19,27;0,00%;;224;223,7;13,41;0,00%;;45tsp225_RND_T40_p1;0
45tsp225_RND_T60_p1;212;212;209,1;15,12;0,00%;;212;209,6;21,52;0,00%;;209;207,5;14,1;1,42%;;46pr226_RND_T40_p1;0
46pr226_RND_T60_p1;221;221;221;22,66;0,00%;;221;221;20,23;0,00%;;221;221;12,38;0,00%;;53gil262_RND_T40_p1;0
53gil262_RND_T60_p1;253;253;251,5;28,01;0,00%;;253;246,4;28,56;0,00%;;253;247,7;19,07;0,00%;;131p654_RND_T40_p1;0
53pr264_RND_T60_p1;252;252;252;43,01;0,00%;;252;252;52;0,00%;;252;252;14,44;0,00%;;11berlin52_RND_T40_p2;0
56a280_RND_T60_p1;256;256;255,3;21,09;0,00%;;254;250,4;29,42;0,78%;;253;248,8;20,12;1,17%;;11eil51_RND_T40_p2;0
60pr299_RND_T60_p1;286;286;286;28,4;0,00%;;286;286;46,36;0,00%;;286;285,7;25,25;0,00%;;14st70_RND_T40_p2;0
64lin318_RND_T60_p1;316;316;315,5;45,22;0,00%;;316;314,4;70,06;0,00%;;313;311,3;30,94;0,95%;;16eil76_RND_T40_p2;0
80rd400_RND_T60_p1;396;396;394,4;60,5;0,00%;;395;394,9;98,64;0,25%;;392;386,6;40,21;1,01%;;16pr76_RND_T40_p2;0
84fl417_RND_T60_p1;407;407;407;239,85;0,00%;;407;406,1;122,49;0,00%;;407;406,4;51,7;0,00%;;20kroB100_RND_T40_p2;0
88pr439_RND_T60_p1;438;438;438;144,75;0,00%;;438;438;186,07;0,00%;;436;435,6;57,88;0,46%;;20kroC100_RND_T40_p2;0
89pcb442_RND_T60_p1;439;438;436,7;66,11;0,23%;;433;428,8;107,14;1,37%;;433;426,9;62,49;1,37%;;20kroD100_RND_T40_p2;0
99d493_RND_T60_p1;488;488;485,7;128,56;0,00%;;485;483,2;175,24;0,61%;;482;479,3;88,33;1,23%;;20kroE100_RND_T40_p2;0
115rat575_RND_T60_p1;542;542;534,7;71,61;0,00%;;533;523;172,76;1,66%;;520;506,6;94,99;4,06%;;20rat99_RND_T40_p2;0
115u574_RND_T60_p1;571;571;570;91,35;0,00%;;571;566,1;266,1;0,00%;;566;557,8;118,21;0,88%;;21eil101_RND_T40_p2;0
131p654_RND_T60_p1;642;642;639,1;499,22;0,00%;;642;639,1;484,25;0,00%;;638;630,5;142,12;0,62%;;21lin105_RND_T40_p2;0
132d657_RND_T60_p1;646;646;644,9;147,6;0,00%;;636;631,2;346,31;1,55%;;628;622,9;162,75;2,79%;;22pr107_RND_T40_p2;0
145u724_RND_T60_p1;707;706;704,2;135,62;0,14%;;707;695,3;415,46;0,00%;;697;677,4;200,15;1,41%;;25pr124_RND_T40_p2;0
157rat783_RND_T60_p1;744;744;740,6;198,45;0,00%;;722;711,8;371,05;2,96%;;721;696,5;203,43;3,09%;;26bier127_RND_T40_p2;0
201pr1002_RND_T60_p1;995;995;990,5;422,6;0,00%;;979;969;1200,03;1,61%;;965;951;505,41;3,02%;;26ch130_RND_T40_p2;0
212u1060_RND_T60_p1;1058;1058;1058;721,93;0,00%;;1055;1050,4;1589,21;0,28%;;1025;1015,7;582,64;3,12%;;28pr136_RND_T40_p2;0
217vm1084_RND_T60_p1;1083;1083;1083;769,31;0,00%;;1083;1079,4;1538,52;0,00%;;1079;1070;721,55;0,37%;;29pr144_RND_T40_p2;0
11berlin52_RND_T60_p2;2608;2608;2608;8,36;0,00%;;2608;2608;0,78;0,00%;;2608;2608;2,36;0,00%;;30kroB150_RND_T40_p2;0
11eil51_RND_T60_p2;2575;2575;2575;6,76;0,00%;;2575;2575;0,62;0,00%;;2575;2575;1,83;0,00%;;31pr152_RND_T40_p2;0
14st70_RND_T60_p2;3218;3218;3218;7,01;0,00%;;3218;3218;1,14;0,00%;;3218;3218;2,08;0,00%;;32u159_RND_T40_p2;0
16eil76_RND_T60_p2;3728;3728;3712,1;5,84;0,00%;;3728;3717,5;1,62;0,00%;;3728;3721,1;3,07;0,00%;;39rat195_RND_T40_p2;0
16pr76_RND_T60_p2;3729;3729;3729;11,4;0,00%;;3729;3729;1,73;0,00%;;3729;3729;1,92;0,00%;;40d198_RND_T40_p2;0
20kroA100_RND_T60_p2;4920;4920;4717,1;7,41;0,00%;;4920;4808,6;3,44;0,00%;;4920;4847,2;3,44;0,00%;;40kroa200_RND_T40_p2;0
20kroB100_RND_T60_p2;4925;4925;4925;15,25;0,00%;;4925;4925;3,83;0,00%;;4925;4910,6;3,56;0,00%;;40krob200_RND_T40_p2;0
20kroC100_RND_T60_p2;4717;4717;4651;7,21;0,00%;;4619;4619;2,89;2,08%;;4717;4668;3,27;0,00%;;45ts225_RND_T40_p2;0
20kroD100_RND_T60_p2;4695;4695;4695;7,11;0,00%;;4695;4695;2,62;0,00%;;4695;4695;2,93;0,00%;;45tsp225_RND_T40_p2;0
20kroE100_RND_T60_p2;4910;4910;4910;13,9;0,00%;;4910;4910;2,86;0,00%;;4910;4910;2,68;0,00%;;53gil262_RND_T40_p2;0
20rat99_RND_T60_p2;4516;4516;4516;6,97;0,00%;;4516;4516;2,29;0,00%;;4516;4516;2,51;0,00%;;60pr299_RND_T40_p2;0
20rd100_RND_T60_p2;5008;5008;5008;12,51;0,00%;;5008;5008;2,84;0,00%;;5008;5008;3,23;0,00%;;131p654_RND_T40_p2;0
21eil101_RND_T60_p2;4933;4933;4932,2;5,82;0,00%;;4933;4933;3,27;0,00%;;4933;4929,8;3,48;0,00%;;11berlin52_RND_T60_p1;0
21lin105_RND_T60_p2;5228;5228;5228;14,51;0,00%;;5228;5228;3,13;0,00%;;5228;5228;2,89;0,00%;;11eil51_RND_T60_p1;0
22pr107_RND_T60_p2;5363;5363;5363;13,29;0,00%;;5363;5363;3,57;0,00%;;5363;5363;2,4;0,00%;;14st70_RND_T60_p1;0
25pr124_RND_T60_p2;5947;5947;5947;11,14;0,00%;;5947;5947;4,81;0,00%;;5947;5947;4,21;0,00%;;16eil76_RND_T60_p1;0
26bier127_RND_T60_p2;6333;6333;6333;20,92;0,00%;;6333;6333;6,73;0,00%;;6333;6333;2,45;0,00%;;16pr76_RND_T60_p1;0
26ch130_RND_T60_p2;6472;6472;6422,5;9,79;0,00%;;6472;6408,8;5,51;0,00%;;6393;6389,9;4,38;1,22%;;20kroB100_RND_T60_p1;0
28pr136_RND_T60_p2;6692;6692;6592,6;7,04;0,00%;;6692;6590,3;7,67;0,00%;;6692;6530,8;4,74;0,00%;;20kroC100_RND_T60_p1;0
29pr144_RND_T60_p2;7151;7151;7151;16,16;0,00%;;7151;7151;8,24;0,00%;;7151;7151;4,63;0,00%;;20kroD100_RND_T60_p1;0
30ch150_RND_T60_p2;7382;7382;7305,2;14,51;0,00%;;7286;7273,6;6,34;1,30%;;7382;7334;6,14;0,00%;;20kroE100_RND_T60_p1;0
30kroA150_RND_T60_p2;7315;7315;7291,3;13,72;0,00%;;7236;7205,4;6,98;1,08%;;7315;7275,5;5,39;0,00%;;20rat99_RND_T60_p1;0
30kroB150_RND_T60_p2;7476;7476;7471,6;16,49;0,00%;;7454;7454;8,08;0,29%;;7476;7456,2;5,86;0,00%;;20rd100_RND_T60_p1;0
31pr152_RND_T60_p2;7658;7658;7644,5;21,74;0,00%;;7658;7658;8,11;0,00%;;7613;7613;5,32;0,59%;;21eil101_RND_T60_p1;0
32u159_RND_T60_p2;7942;7942;7942;11,8;0,00%;;7942;7942;10,06;0,00%;;7942;7866,4;6,56;0,00%;;21lin105_RND_T60_p1;0
39rat195_RND_T60_p2;9022;9022;8816,6;10,68;0,00%;;8824;8816,8;11,32;2,19%;;9022;8848,2;7,2;0,00%;;22pr107_RND_T60_p1;0
40d198_RND_T60_p2;9952;9952;9952;22,04;0,00%;;9952;9952;18,4;0,00%;;9952;9952;8,19;0,00%;;25pr124_RND_T60_p1;0
40kroa200_RND_T60_p2;10010;10010;10010;21,21;0,00%;;10010;9965,4;19,35;0,00%;;10010;9924,7;11,65;0,00%;;26bier127_RND_T60_p1;0
40krob200_RND_T60_p2;10011;10011;10004,5;25,18;0,00%;;9946;9836,2;18,99;0,65%;;10011;9913,3;12,57;0,00%;;26ch130_RND_T60_p1;0
45ts225_RND_T60_p2;11308;11308;11308;32,68;0,00%;;11308;11308;20,68;0,00%;;11308;11308;14,91;0,00%;;29pr144_RND_T60_p1;0
45tsp225_RND_T60_p2;10786;10715;10667,4;11,68;0,66%;;10786;10650,6;21,87;0,00%;;10742;10626,2;14,3;0,41%;;30ch150_RND_T60_p1;0
46pr226_RND_T60_p2;11063;11063;11063;24,76;0,00%;;11063;11063;22,62;0,00%;;11063;11063;11,64;0,00%;;30kroB150_RND_T60_p1;0
53gil262_RND_T60_p2;12839;12839;12829;38,29;0,00%;;12722;12470,8;29,65;0,91%;;12780;12605,5;19,36;0,46%;;32u159_RND_T60_p1;0
53pr264_RND_T60_p2;12658;12658;12658;50,94;0,00%;;12658;12658;50,45;0,00%;;12658;12658;14,68;0,00%;;40d198_RND_T60_p1;0
56a280_RND_T60_p2;13252;13229;13080,7;23,25;0,17%;;13252;12739,1;33,26;0,00%;;13029;12816,6;20,01;1,68%;;40kroa200_RND_T60_p1;0
60pr299_RND_T60_p2;14688;14688;14688;31,43;0,00%;;14688;14688;49,92;0,00%;;14688;14660,9;24,43;0,00%;;45ts225_RND_T60_p1;0
64lin318_RND_T60_p2;15993;15993;15993;55,08;0,00%;;15955;15887,3;66,36;0,24%;;15877;15844,3;30,84;0,73%;;46pr226_RND_T60_p1;0
80rd400_RND_T60_p2;20090;20090;20056,9;61,1;0,00%;;20043;19938,9;96,18;0,23%;;20015;19804,1;42,72;0,37%;;53gil262_RND_T60_p1;0
84fl417_RND_T60_p2;20642;20635;20628,2;249,82;0,03%;;20642;20570,2;133,04;0,00%;;20642;20532,2;50,25;0,00%;;53pr264_RND_T60_p1;0
88pr439_RND_T60_p2;22177;22177;22177;133,66;0,00%;;22177;22177;180,12;0,00%;;22046;22024,4;53,35;0,59%;;60pr299_RND_T60_p1;0
89pcb442_RND_T60_p2;22194;22194;22108,3;71,26;0,00%;;22072;21723,6;120,17;0,55%;;22064;21558,4;61,78;0,59%;;84fl417_RND_T60_p1;0
99d493_RND_T60_p2;24679;24679;24650,3;109,5;0,00%;;24617;24444,8;164,74;0,25%;;24551;24307,9;84,79;0,52%;;11berlin52_RND_T60_p2;0
115rat575_RND_T60_p2;27170;27170;26959;85,82;0,00%;;26958;26124,6;167,53;0,78%;;26824;26203,3;95,75;1,27%;;11eil51_RND_T60_p2;0
115u574_RND_T60_p2;28937;28937;28880,6;96,28;0,00%;;28829;28726;263,55;0,37%;;28799;28595,9;117,83;0,48%;;14st70_RND_T60_p2;0
131p654_RND_T60_p2;32442;32442;32340,4;459,26;0,00%;;32442;32346,9;432,71;0,00%;;32315;32069,2;155,08;0,39%;;16eil76_RND_T60_p2;0
132d657_RND_T60_p2;32805;32805;32786,3;179,19;0,00%;;32205;32028,1;328,56;1,83%;;32120;31759,9;156,55;2,09%;;16pr76_RND_T60_p2;0
145u724_RND_T60_p2;35888;35614;35467,9;163,81;0,76%;;35888;35187,1;395,8;0,00%;;35267;34609,8;200,4;1,73%;;20kroA100_RND_T60_p2;0
157rat783_RND_T60_p2;37357;37357;37010,8;111,7;0,00%;;36610;36017,3;377,99;2,00%;;36518;35703,6;206,81;2,25%;;20kroB100_RND_T60_p2;0
201pr1002_RND_T60_p2;50412;50412;50247,7;403,5;0,00%;;49941;49135,5;1130,68;0,93%;;49552;48575,7;496,69;1,71%;;20kroD100_RND_T60_p2;0
212u1060_RND_T60_p2;53468;53468;53468;776,23;0,00%;;53442;53126,9;1577,57;0,05%;;52364;51371,1;564,76;2,06%;;20kroE100_RND_T60_p2;0
217vm1084_RND_T60_p2;54712;54712;54712;797,88;0,00%;;54712;54480,9;1569,24;0,00%;;54551;53752;660,58;0,29%;;20rat99_RND_T60_p2;0
11berlin52_RND_T80_p1;51;51;51;8,5;0,00%;;51;51;0,83;0,00%;;51;51;2,36;0,00%;;20rd100_RND_T60_p2;0
11eil51_RND_T80_p1;50;50;50;7,24;0,00%;;50;50;0,78;0,00%;;50;50;1,49;0,00%;;21eil101_RND_T60_p2;0
14st70_RND_T80_p1;69;69;69;10,79;0,00%;;69;69;1,31;0,00%;;69;69;2,16;0,00%;;21lin105_RND_T60_p2;0
16eil76_RND_T80_p1;75;75;75;10,72;0,00%;;75;75;1,68;0,00%;;75;75;2,76;0,00%;;22pr107_RND_T60_p2;0
16pr76_RND_T80_p1;75;75;75;12,08;0,00%;;75;75;1,8;0,00%;;75;75;1,96;0,00%;;25pr124_RND_T60_p2;0
20kroA100_RND_T80_p1;99;99;99;13,24;0,00%;;99;99;3,25;0,00%;;99;99;3,41;0,00%;;26bier127_RND_T60_p2;0
20kroB100_RND_T80_p1;99;99;99;14,52;0,00%;;99;99;3,34;0,00%;;99;99;3,27;0,00%;;28pr136_RND_T60_p2;0
20kroC100_RND_T80_p1;99;99;99;15,1;0,00%;;99;99;2,77;0,00%;;99;99;3,35;0,00%;;29pr144_RND_T60_p2;0
20kroD100_RND_T80_p1;99;99;99;13,13;0,00%;;99;99;3,71;0,00%;;99;99;3,5;0,00%;;32u159_RND_T60_p2;0
20kroE100_RND_T80_p1;99;99;99;13,73;0,00%;;99;99;2,95;0,00%;;99;99;3,12;0,00%;;40d198_RND_T60_p2;0
20rat99_RND_T80_p1;98;98;98;14,05;0,00%;;98;98;3,47;0,00%;;98;98;3,15;0,00%;;40kroa200_RND_T60_p2;0
20rd100_RND_T80_p1;99;99;99;13,6;0,00%;;99;99;3,19;0,00%;;99;99;2,57;0,00%;;45ts225_RND_T60_p2;0
21eil101_RND_T80_p1;100;100;100;14,59;0,00%;;100;100;3,85;0,00%;;100;100;3,31;0,00%;;46pr226_RND_T60_p2;0
21lin105_RND_T80_p1;104;104;104;13,57;0,00%;;104;104;3,42;0,00%;;104;104;3,28;0,00%;;53pr264_RND_T60_p2;0
22pr107_RND_T80_p1;106;106;106;14,53;0,00%;;106;106;4,17;0,00%;;106;106;3,26;0,00%;;60pr299_RND_T60_p2;0
25pr124_RND_T80_p1;123;123;123;14,85;0,00%;;123;123;5,5;0,00%;;123;122,6;4,21;0,00%;;11berlin52_RND_T80_p1;0
26bier127_RND_T80_p1;126;126;126;20,75;0,00%;;126;126;7,33;0,00%;;126;126;5,91;0,00%;;11eil51_RND_T80_p1;0
26ch130_RND_T80_p1;129;129;129;17,96;0,00%;;129;129;6,27;0,00%;;129;129;4,5;0,00%;;14st70_RND_T80_p1;0
28pr136_RND_T80_p1;135;135;135;16,04;0,00%;;135;135;6,86;0,00%;;135;134,9;5,66;0,00%;;16eil76_RND_T80_p1;0
