;;MASOP;;;;;VNS-SOP;;;;;BRKGA;;;
Instance;Best;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%
132d657_T40_p2;15903;15855;15790,2;311,43;0,30%;;15141;14633,2;46,81;4,79%;;15903;15738,4;27,51;0,00%
145u724_T40_p2;17230;17230;17127,2;216,07;0,00%;;16616;15998,6;69,03;3,56%;;17094;16974,3;36,05;0,79%
157rat783_T40_p2;18216;18018;17720,8;315,26;1,09%;;17889;17088,8;73,92;1,80%;;18216;17838,8;44,28;0,00%
201pr1002_T40_p2;27275;26239;26086,2;766,51;3,80%;;25357;24632,4;149,33;7,03%;;27189;26369,8;89,40;0,32%
212u1060_T40_p2;28221;27348;26638,9;771,67;3,09%;;26463;25952,5;181,95;6,23%;;28221;27458,3;110,62;0,00%
217vm1084_T40_p2;34398;34291;33818,5;710,76;0,31%;;31473;27875,1;217,37;8,50%;;34398;33799,6;95,07;0,00%
11berlin52_T60_p1;43;43;43,0;2,40;0,00%;;43;43,0;0,37;0,00%;;43;43,0;1,42;0,00%
11eil51_T60_p1;39;39;39,0;5,41;0,00%;;39;39,0;0,34;0,00%;;39;39,0;1,51;0,00%
14st70_T60_p1;50;50;50,0;4,68;0,00%;;50;50,0;0,53;0,00%;;50;50,0;1,72;0,00%
16eil76_T60_p1;59;59;58,8;3,60;0,00%;;59;59,0;0,67;0,00%;;59;59,0;1,92;0,00%
16pr76_T60_p1;65;65;65,0;7,89;0,00%;;65;65,0;0,78;0,00%;;65;65,0;2,04;0,00%
20kroA100_T60_p1;65;65;65,0;7,87;0,00%;;65;65,0;0,90;0,00%;;65;65,0;2,12;0,00%
20kroB100_T60_p1;66;66;66,0;8,51;0,00%;;66;66,0;0,90;0,00%;;66;66,0;2,11;0,00%
20kroC100_T60_p1;62;62;62,0;6,63;0,00%;;62;62,0;1,01;0,00%;;62;62,0;2,14;0,00%
20kroD100_T60_p1;64;64;64,0;10,15;0,00%;;64;64,0;0,89;0,00%;;64;64,0;2,29;0,00%
20kroE100_T60_p1;63;63;63,0;7,36;0,00%;;63;63,0;0,95;0,00%;;63;63,0;2,03;0,00%
20rat99_T60_p1;52;52;52,0;8,71;0,00%;;52;52,0;0,84;0,00%;;52;52,0;1,81;0,00%
20rd100_T60_p1;72;72;72,0;2,49;0,00%;;72;72,0;1,05;0,00%;;72;72,0;2,23;0,00%
21eil101_T60_p1;82;82;82,0;7,62;0,00%;;82;82,0;1,29;0,00%;;82;82,0;2,41;0,00%
21lin105_T60_p1;78;78;78,0;9,84;0,00%;;78;78,0;1,04;0,00%;;78;78,0;2,03;0,00%
22pr107_T60_p1;53;53;53,0;12,74;0,00%;;53;53,0;0,94;0,00%;;53;53,0;1,87;0,00%
25pr124_T60_p1;75;75;75,0;12,14;0,00%;;75;75,0;1,43;0,00%;;75;75,0;2,48;0,00%
26bier127_T60_p1;118;118;117,8;5,30;0,00%;;118;118,0;2,90;0,00%;;118;117,8;3,70;0,00%
26ch130_T60_p1;99;98;98,0;5,95;1,01%;;99;99,0;2,60;0,00%;;98;98,0;2,81;1,01%
28pr136_T60_p1;89;89;89,0;8,51;0,00%;;89;89,0;1,93;0,00%;;89;89,0;2,71;0,00%
29pr144_T60_p1;98;98;98,0;7,31;0,00%;;98;97,9;1,70;0,00%;;98;98,0;3,06;0,00%
30ch150_T60_p1;96;96;96,0;8,96;0,00%;;96;95,4;2,28;0,00%;;96;96,0;2,94;0,00%
30kroA150_T60_p1;90;90;90,0;10,45;0,00%;;90;89,0;2,19;0,00%;;90;90,0;2,90;0,00%
30kroB150_T60_p1;105;105;105,0;8,31;0,00%;;105;103,7;2,89;0,00%;;105;103,9;3,49;0,00%
31pr152_T60_p1;105;105;105,0;12,17;0,00%;;105;105,0;1,44;0,00%;;105;105,0;3,14;0,00%
32u159_T60_p1;114;114;114,0;10,97;0,00%;;114;114,0;2,48;0,00%;;114;114,0;3,10;0,00%
39rat195_T60_p1;118;118;117,8;18,24;0,00%;;118;117,3;3,57;0,00%;;118;117,4;3,71;0,00%
40d198_T60_p1;160;160;160,0;17,41;0,00%;;160;160,0;5,23;0,00%;;160;159,6;4,46;0,00%
40kroa200_T60_p1;142;142;141,7;18,08;0,00%;;142;141,1;5,06;0,00%;;142;141,4;4,72;0,00%
40krob200_T60_p1;138;138;137,3;15,13;0,00%;;138;137,1;6,03;0,00%;;138;137,4;5,04;0,00%
45ts225_T60_p1;152;152;151,1;6,40;0,00%;;152;151,0;7,82;0,00%;;152;151,2;5,09;0,00%
45tsp225_T60_p1;147;146;146,0;21,47;0,68%;;147;146,3;4,90;0,00%;;146;145,7;5,95;0,68%
46pr226_T60_p1;162;162;162,0;10,20;0,00%;;162;161,4;5,69;0,00%;;162;162,0;5,16;0,00%
53gil262_T60_p1;177;176;176,0;17,56;0,56%;;176;173,3;8,63;0,56%;;177;175,9;8,01;0,00%
53pr264_T60_p1;162;162;161,5;29,49;0,00%;;162;160,4;7,40;0,00%;;162;161,4;7,05;0,00%
56a280_T60_p1;164;164;163,5;23,80;0,00%;;164;163,8;9,33;0,00%;;164;161,9;8,24;0,00%
60pr299_T60_p1;187;187;187,0;25,48;0,00%;;177;175,0;9,39;5,35%;;187;187,0;8,35;0,00%
64lin318_T60_p1;256;256;255,1;21,96;0,00%;;256;249,4;15,80;0,00%;;256;255,1;12,70;0,00%
80rd400_T60_p1;295;291;288,5;41,04;1,36%;;294;287,5;24,83;0,34%;;295;286,4;18,44;0,00%
84fl417_T60_p1;288;288;285,9;35,30;0,00%;;286;254,3;17,73;0,69%;;288;284,9;15,60;0,00%
88pr439_T60_p1;385;385;384,1;47,22;0,00%;;385;383,5;36,33;0,00%;;384;382,7;28,59;0,26%
89pcb442_T60_p1;327;325;322,8;58,24;0,61%;;326;314,1;34,08;0,31%;;323;319,0;21,98;1,22%
99d493_T60_p1;406;406;404,1;82,79;0,00%;;402;399,1;67,96;0,99%;;405;399,6;36,15;0,25%
115rat575_T60_p1;396;396;391,6;102,67;0,00%;;392;377,9;59,25;1,01%;;394;383,2;34,82;0,51%
115u574_T60_p1;444;442;441,0;77,04;0,45%;;435;427,2;69,96;2,03%;;440;434,1;40,98;0,90%
131p654_T60_p1;529;529;528,9;118,69;0,00%;;476;470,4;40,17;10,02%;;529;518,1;48,26;0,00%
132d657_T60_p1;478;478;474,1;145,54;0,00%;;463;456,6;91,08;3,14%;;468;459,3;51,98;2,09%
145u724_T60_p1;514;514;510,9;120,72;0,00%;;494;476,6;114,56;3,89%;;508;502,2;59,95;1,17%
157rat783_T60_p1;524;524;517,4;257,50;0,00%;;515;495,4;130,95;1,72%;;521;503,5;69,64;0,57%
201pr1002_T60_p1;770;770;762,6;249,39;0,00%;;736;716,3;268,70;4,42%;;751;740,5;156,37;2,47%
212u1060_T60_p1;827;827;821,8;285,05;0,00%;;790;753,6;305,65;4,47%;;812;790,9;185,13;1,81%
217vm1084_T60_p1;871;871;867,3;269,00;0,00%;;822;779,0;410,45;5,63%;;860;834,8;144,19;1,26%
11berlin52_T60_p2;2190;2190;2190,0;3,03;0,00%;;2190;2190,0;0,37;0,00%;;2190;2190,0;1,44;0,00%
11eil51_T60_p2;1911;1911;1911,0;5,14;0,00%;;1911;1911,0;0,35;0,00%;;1911;1911,0;1,45;0,00%
14st70_T60_p2;2589;2589;2589,0;7,02;0,00%;;2589;2589,0;0,53;0,00%;;2589;2589,0;1,70;0,00%
16eil76_T60_p2;3119;3119;3119,0;5,30;0,00%;;3119;3119,0;0,68;0,00%;;3119;3119,0;1,91;0,00%
16pr76_T60_p2;3275;3275;3275,0;8,22;0,00%;;3275;3275,0;0,80;0,00%;;3275;3275,0;2,05;0,00%
20kroA100_T60_p2;3192;3192;3192,0;6,36;0,00%;;3192;3192,0;0,94;0,00%;;3192;3192,0;2,11;0,00%
20kroB100_T60_p2;3203;3203;3203,0;7,80;0,00%;;3203;3203,0;0,92;0,00%;;3203;3203,0;2,11;0,00%
20kroC100_T60_p2;3110;3110;3110,0;6,20;0,00%;;3110;3110,0;0,96;0,00%;;3110;3110,0;2,12;0,00%
20kroD100_T60_p2;3133;3133;3133,0;10,74;0,00%;;3133;3133,0;0,90;0,00%;;3133;3133,0;2,11;0,00%
20kroE100_T60_p2;2950;2950;2950,0;8,08;0,00%;;2950;2950,0;0,97;0,00%;;2950;2950,0;2,01;0,00%
20rat99_T60_p2;2643;2643;2643,0;8,01;0,00%;;2643;2643,0;0,87;0,00%;;2643;2643,0;1,83;0,00%
20rd100_T60_p2;3591;3585;3585,0;5,22;0,17%;;3591;3588,0;1,33;0,00%;;3585;3585,0;2,23;0,17%
21eil101_T60_p2;4187;4187;4186,2;8,81;0,00%;;4187;4185,0;1,50;0,00%;;4187;4187,0;2,46;0,00%
21lin105_T60_p2;3955;3955;3955,0;9,33;0,00%;;3955;3955,0;1,05;0,00%;;3955;3955,0;2,01;0,00%
22pr107_T60_p2;2697;2697;2697,0;12,51;0,00%;;2697;2697,0;0,96;0,00%;;2697;2697,0;1,72;0,00%
25pr124_T60_p2;3763;3763;3763,0;11,44;0,00%;;3763;3763,0;1,49;0,00%;;3763;3763,0;2,46;0,00%
26bier127_T60_p2;5882;5882;5882,0;9,54;0,00%;;5882;5882,0;2,82;0,00%;;5882;5882,0;3,95;0,00%
26ch130_T60_p2;5123;5123;5123,0;4,98;0,00%;;5123;5123,0;1,62;0,00%;;5123;5123,0;2,80;0,00%
28pr136_T60_p2;4579;4579;4579,0;9,18;0,00%;;4579;4579,0;1,85;0,00%;;4579;4579,0;2,76;0,00%
29pr144_T60_p2;4947;4947;4947,0;7,57;0,00%;;4947;4916,4;1,65;0,00%;;4947;4947,0;3,09;0,00%
30ch150_T60_p2;4825;4825;4825,0;9,17;0,00%;;4825;4819,0;2,40;0,00%;;4825;4825,0;3,32;0,00%
30kroA150_T60_p2;4542;4542;4542,0;10,79;0,00%;;4542;4469,4;2,20;0,00%;;4542;4542,0;2,97;0,00%
30kroB150_T60_p2;5123;5123;5123,0;9,58;0,00%;;5120;5079,6;3,14;0,06%;;5123;5121,5;3,58;0,00%
31pr152_T60_p2;5235;5235;5235,0;11,98;0,00%;;5235;5235,0;1,49;0,00%;;5235;5235,0;3,12;0,00%
32u159_T60_p2;5906;5906;5906,0;11,04;0,00%;;5906;5906,0;2,54;0,00%;;5906;5906,0;3,12;0,00%
39rat195_T60_p2;5846;5846;5839,1;18,88;0,00%;;5846;5829,2;4,60;0,00%;;5846;5846,0;3,95;0,00%
40d198_T60_p2;8102;8102;8102,0;17,41;0,00%;;8102;8102,0;5,84;0,00%;;8102;8102,0;4,92;0,00%
40kroa200_T60_p2;7105;7105;7104,6;17,36;0,00%;;7105;7062,4;4,90;0,00%;;7105;7104,6;4,83;0,00%
40krob200_T60_p2;6943;6943;6943,0;14,57;0,00%;;6943;6884,8;6,01;0,00%;;6943;6940,0;5,11;0,00%
45ts225_T60_p2;7948;7948;7896,7;8,89;0,00%;;7948;7853,5;7,26;0,00%;;7948;7918,2;5,28;0,00%
45tsp225_T60_p2;7603;7603;7603,0;19,03;0,00%;;7603;7584,0;4,94;0,00%;;7603;7603,0;5,49;0,00%
46pr226_T60_p2;8280;8280;8280,0;12,60;0,00%;;8280;8233,0;4,82;0,00%;;8280;8280,0;5,25;0,00%
53gil262_T60_p2;8864;8864;8854,6;34,77;0,00%;;8864;8862,4;8,60;0,00%;;8864;8863,4;8,15;0,00%
53pr264_T60_p2;8404;8404;8404,0;30,08;0,00%;;8404;8397,0;7,24;0,00%;;8404;8404,0;6,59;0,00%
56a280_T60_p2;8470;8470;8468,1;25,79;0,00%;;8470;8330,7;9,65;0,00%;;8470;8468,1;8,01;0,00%
60pr299_T60_p2;9544;9544;9544,0;23,69;0,00%;;9495;8939,9;10,58;0,51%;;9544;9496,3;8,22;0,00%
64lin318_T60_p2;13188;13188;13188,0;21,22;0,00%;;13185;13038,3;14,97;0,02%;;13188;13188,0;12,46;0,00%
80rd400_T60_p2;15147;15051;14983,9;38,14;0,63%;;15147;15009,8;21,94;0,00%;;15118;14901,9;18,79;0,19%
84fl417_T60_p2;14937;14937;14937,0;43,20;0,00%;;14812;12890,8;16,79;0,84%;;14937;14826,8;16,42;0,00%
88pr439_T60_p2;19642;19640;19613,2;82,12;0,01%;;19601;19489,7;40,23;0,21%;;19642;19516,9;29,84;0,00%
89pcb442_T60_p2;16644;16523;16455,4;61,87;0,73%;;16341;16099,6;35,83;1,82%;;16644;16463,7;23,47;0,00%
99d493_T60_p2;20584;20574;20481,5;74,17;0,05%;;20348;20060,5;61,42;1,15%;;20376;20216,1;35,20;1,01%
115rat575_T60_p2;20062;19962;19817,6;103,39;0,50%;;19811;18977,7;63,52;1,25%;;19933;19530,3;36,29;0,64%
115u574_T60_p2;22685;22606;22149,3;75,50;0,35%;;21688;20976,8;63,78;4,39%;;22542;22032,8;40,54;0,63%
131p654_T60_p2;26905;26905;26904,4;134,53;0,00%;;26636;24064,8;49,55;1,00%;;26905;25828,1;46,93;0,00%
132d657_T60_p2;24186;24132;24013,7;146,78;0,22%;;23867;23225,9;91,32;1,32%;;24135;23644,3;50,31;0,21%
145u724_T60_p2;26564;26510;26302,3;173,86;0,20%;;25459;24562,6;111,10;4,16%;;26564;25945,0;60,15;0,00%
157rat783_T60_p2;26883;26740;26516,8;210,35;0,53%;;25512;25076,3;138,19;5,10%;;26739;25794,7;70,60;0,54%
201pr1002_T60_p2;39262;39123;38537,7;231,66;0,35%;;37133;36207,1;264,15;5,42%;;38336;37611,0;155,51;2,36%
212u1060_T60_p2;41533;41362;41042,7;434,21;0,41%;;38921;37879,5;348,27;6,29%;;40311;39577,9;184,72;2,94%
217vm1084_T60_p2;44641;44573;44325,9;341,70;0,15%;;41730;40052,2;365,50;6,52%;;43938;42925,3;146,62;1,57%
11berlin52_T80_p1;47;47;47,0;7,76;0,00%;;47;47,0;0,42;0,00%;;47;47,0;1,67;0,00%
11eil51_T80_p1;43;43;43,0;2,93;0,00%;;43;43,0;0,42;0,00%;;43;43,0;1,65;0,00%
14st70_T80_p1;65;65;65,0;9,24;0,00%;;65;65,0;0,64;0,00%;;65;64,8;2,02;0,00%
16eil76_T80_p1;69;69;69,0;4,03;0,00%;;69;69,0;0,81;0,00%;;69;69,0;2,42;0,00%
16pr76_T80_p1;72;71;71,0;3,71;1,39%;;72;71,7;1,12;0,00%;;72;72,0;2,49;0,00%
20kroA100_T80_p1;79;79;79,0;7,81;0,00%;;79;78,6;1,50;0,00%;;79;78,9;2,62;0,00%
20kroB100_T80_p1;86;86;86,0;7,72;0,00%;;86;86,0;1,10;0,00%;;86;86,0;2,50;0,00%
20kroC100_T80_p1;83;83;83,0;8,58;0,00%;;83;83,0;1,25;0,00%;;83;83,0;2,46;0,00%
20kroD100_T80_p1;85;85;85,0;9,56;0,00%;;85;85,0;1,28;0,00%;;85;85,0;2,43;0,00%
20kroE100_T80_p1;80;80;80,0;3,32;0,00%;;80;80,0;1,38;0,00%;;80;80,0;2,45;0,00%
20rat99_T80_p1;79;79;79,0;9,88;0,00%;;79;79,0;1,19;0,00%;;79;78,4;2,62;0,00%
20rd100_T80_p1;91;91;91,0;10,74;0,00%;;91;91,0;1,42;0,00%;;91;91,0;2,86;0,00%
