dataset_name;l=2restarts=50;duration;l=5restarts=20;duration;l=10restarts=10;duration;l=20restarts=5;duration;l=50restarts=2;duration;best;gap_1;gap_2;gap_3;gap_4;gap_5
201pr1002_v2_p2;49285;222.808;49361;164.892;49308;111.988;49218;95.447;49232;95.47;49361;0,001539677;0;0,001073722;0,002897024;0,002613399
201pr1002_v3_p1;993;131.408;994;100.873;995;90.642;995;106.149;994;82.398;995;0,00201005;0,001005025;0;0;0,001005025
201pr1002_v3_p2;50403;170.578;50414;129.716;50336;115.708;50346;83.424;50417;91.495;50417;0,000277684;5,95037E-05;0,001606601;0,001408255;0
201pr1002_v4_p1;1001;87.265;1001;64.838;1001;59.828;1001;54.393;1001;52.681;1001;0;0;0;0;0
201pr1002_v4_p2;50583;90.617;50583;67.447;50583;57.268;50583;54.983;50583;51.745;50583;0;0;0;0;0
20kroA100_v2_p1;83;0.178;83;0.17;83;0.184;83;0.18;83;0.244;83;0;0;0;0;0
20kroA100_v2_p2;4256;0.207;4256;0.207;4256;0.175;4256;0.183;4256;0.158;4256;0;0;0;0;0
20kroA100_v3_p1;80;0.208;80;0.229;80;0.209;80;0.22;80;0.164;80;0;0;0;0;0
20kroA100_v3_p2;4116;0.239;4116;0.207;4116;0.201;4116;0.221;4116;0.212;4116;0;0;0;0;0
20kroA100_v4_p1;83;0.236;83;0.201;83;0.194;83;0.184;83;0.184;83;0;0;0;0;0
20kroA100_v4_p2;4256;0.222;4256;0.199;4256;0.188;4256;0.185;4256;0.182;4256;0;0;0;0;0
20kroB100_v2_p1;80;0.176;80;0.146;80;0.135;80;0.135;80;0.124;80;0;0;0;0;0
20kroB100_v2_p2;3738;0.21;3738;0.17;3738;0.148;3738;0.137;3738;0.133;3738;0;0;0;0;0
20kroB100_v3_p1;72;0.286;72;0.218;72;0.218;72;0.184;72;0.186;72;0;0;0;0;0
20kroB100_v3_p2;3411;0.206;3411;0.186;3411;0.185;3411;0.17;3411;0.159;3411;0;0;0;0;0
20kroB100_v4_p1;74;0.221;74;0.193;74;0.191;74;0.182;74;0.183;74;0;0;0;0;0
20kroB100_v4_p2;3482;0.221;3482;0.192;3482;0.19;3482;0.184;3482;0.183;3482;0;0;0;0;0
20kroC100_v2_p1;75;0.194;75;0.159;75;0.147;75;0.141;75;0.141;75;0;0;0;0;0
20kroC100_v2_p2;3755;0.213;3755;0.186;3755;0.174;3755;0.164;3755;0.185;3755;0;0;0;0;0
20kroC100_v3_p1;71;0.209;71;0.186;71;0.169;71;0.173;71;0.166;71;0;0;0;0;0
20kroC100_v3_p2;3565;0.22;3565;0.175;3565;0.181;3565;0.179;3565;0.16;3565;0;0;0;0;0
20kroC100_v4_p1;71;0.221;71;0.205;71;0.194;71;0.182;71;0.182;71;0;0;0;0;0
20kroC100_v4_p2;3565;0.226;3565;0.198;3565;0.194;3565;0.189;3565;0.188;3565;0;0;0;0;0
20kroD100_v2_p1;75;0.231;75;0.199;75;0.168;75;0.155;75;0.139;75;0;0;0;0;0
20kroD100_v2_p2;3568;0.225;3568;0.191;3568;0.165;3568;0.149;3568;0.145;3568;0;0;0;0;0
20kroD100_v3_p1;64;0.233;64;0.206;64;0.172;64;0.172;64;0.169;64;0;0;0;0;0
20kroD100_v3_p2;3133;0.231;3133;0.188;3133;0.183;3133;0.174;3133;0.166;3133;0;0;0;0;0
20kroD100_v4_p1;67;0.247;67;0.201;67;0.202;67;0.195;67;0.19;67;0;0;0;0;0
20kroD100_v4_p2;3379;0.232;3379;0.203;3379;0.199;3379;0.191;3379;0.191;3379;0;0;0;0;0
20kroE100_v2_p1;66;0.181;66;0.15;66;0.136;66;0.134;66;0.126;66;0;0;0;0;0
20kroE100_v2_p2;3089;0.167;3089;0.145;3089;0.141;3089;0.134;3089;0.132;3089;0;0;0;0;0
20kroE100_v3_p1;63;0.188;63;0.158;63;0.154;63;0.151;63;0.145;63;0;0;0;0;0
20kroE100_v3_p2;2945;0.183;2945;0.165;2945;0.154;2945;0.152;2945;0.152;2945;0;0;0;0;0
20kroE100_v4_p1;66;0.247;66;0.201;66;0.2;66;0.183;66;0.171;66;0;0;0;0;0
20kroE100_v4_p2;3089;0.219;3089;0.194;3089;0.185;3089;0.18;3089;0.177;3089;0;0;0;0;0
20rat99_v2_p1;53;0.182;53;0.161;53;0.146;53;0.134;53;0.125;53;0;0;0;0;0
20rat99_v2_p2;2776;0.172;2776;0.146;2776;0.138;2776;0.133;2776;0.135;2776;0;0;0;0;0
20rat99_v3_p1;49;0.171;49;0.153;49;0.148;49;0.144;49;0.151;49;0;0;0;0;0
20rat99_v3_p2;2508;0.199;2508;0.171;2508;0.162;2508;0.157;2508;0.153;2508;0;0;0;0;0
20rat99_v4_p1;49;0.188;49;0.178;49;0.174;49;0.178;49;0.173;49;0;0;0;0;0
20rat99_v4_p2;2508;0.194;2508;0.18;2508;0.183;2508;0.175;2508;0.174;2508;0;0;0;0;0
20rd100_v2_p1;81;0.176;81;0.142;81;0.137;81;0.135;81;0.128;81;0;0;0;0;0
20rd100_v2_p2;4053;0.18;4053;0.15;4053;0.142;4060;0.142;4053;0.131;4060;0,001724138;0,001724138;0,001724138;0;0,001724138
20rd100_v3_p1;67;0.215;67;0.182;67;0.169;67;0.163;67;0.154;67;0;0;0;0;0
20rd100_v3_p2;3467;0.216;3467;0.195;3467;0.189;3467;0.159;3467;0.162;3467;0;0;0;0;0
20rd100_v4_p1;67;0.222;67;0.187;67;0.184;67;0.184;67;0.184;67;0;0;0;0;0
20rd100_v4_p2;3467;0.215;3467;0.196;3467;0.187;3467;0.187;3467;0.181;3467;0;0;0;0;0
212u1060_v2_p1;1053;178.253;1054;132.3;1053;120.806;1054;111.02;1054;78.148;1054;0,000948767;0;0,000948767;0;0
212u1060_v2_p2;53308;207.397;53322;152.786;53360;136.92;53345;114.844;53331;90.763;53360;0,000974513;0,000712144;0;0,000281109;0,000543478
212u1060_v3_p1;1058;138.982;1058;102.982;1058;98.778;1058;75.406;1058;60.392;1058;0;0;0;0;0
212u1060_v3_p2;53504;160.952;53513;118.521;53492;121.299;53517;112.701;53468;69.853;53517;0,000242913;7,47426E-05;0,000467141;0;0,000915597
212u1060_v4_p1;1059;107.595;1059;78.367;1059;71.275;1059;65.947;1059;64.045;1059;0;0;0;0;0
212u1060_v4_p2;53548;110.939;53548;80.352;53548;72.194;53548;64.481;53548;60.212;53548;0;0;0;0;0
217vm1084_v2_p1;1070;170.65;1070;118.777;1070;116.061;1070;84.58;1069;78.859;1070;0;0;0;0;0,000934579
217vm1084_v2_p2;54289;242.086;54203;165.762;54192;140.773;54259;157.923;54231;103.746;54289;0;0,001584115;0,001786734;0,000552598;0,001068356
217vm1084_v3_p1;1083;122.513;1083;102.479;1083;87.519;1083;88.337;1083;66.75;1083;0;0;0;0;0
217vm1084_v3_p2;54712;163.296;54712;122.56;54712;95.386;54712;92.454;54712;88.549;54712;0;0;0;0;0
217vm1084_v4_p1;1083;86.005;1083;71.861;1083;67.545;1083;66.654;1083;65.565;1083;0;0;0;0;0
217vm1084_v4_p2;54712;95.02;54712;75.915;54712;69.705;54712;67.271;54712;65.496;54712;0;0;0;0;0
21eil101_v2_p1;93;0.188;93;0.164;93;0.16;93;0.136;93;0.14;93;0;0;0;0;0
21eil101_v2_p2;4714;0.183;4714;0.169;4714;0.199;4714;0.14;4714;0.161;4714;0;0;0;0;0
21eil101_v3_p1;91;0.229;91;0.219;91;0.189;91;0.158;91;0.24;91;0;0;0;0;0
21eil101_v3_p2;4672;0.231;4672;0.196;4672;0.156;4672;0.154;4672;0.147;4672;0;0;0;0;0
21eil101_v4_p1;97;0.288;97;0.223;97;0.224;97;0.186;97;0.209;97;0;0;0;0;0
21eil101_v4_p2;4993;0.301;4993;0.28;4993;0.231;4993;0.233;4993;0.182;4993;0;0;0;0;0
21lin105_v2_p1;73;0.232;73;0.2;73;0.203;73;0.186;73;0.237;73;0;0;0;0;0
21lin105_v2_p2;3704;0.244;3704;0.211;3704;0.194;3704;0.187;3704;0.159;3704;0;0;0;0;0
21lin105_v3_p1;59;0.225;59;0.198;59;0.188;59;0.176;59;0.176;59;0;0;0;0;0
21lin105_v3_p2;3011;0.252;3011;0.198;3011;0.192;3011;0.182;3011;0.177;3011;0;0;0;0;0
21lin105_v4_p1;61;0.271;61;0.239;61;0.225;61;0.219;61;0.215;61;0;0;0;0;0
21lin105_v4_p2;3082;0.291;3082;0.239;3082;0.219;3082;0.207;3082;0.203;3082;0;0;0;0;0
22pr107_v2_p1;53;0.164;53;0.152;53;0.15;53;0.149;53;0.146;53;0;0;0;0;0
22pr107_v2_p2;2697;0.174;2697;0.159;2697;0.156;2697;0.152;2697;0.151;2697;0;0;0;0;0
22pr107_v3_p1;41;0.181;41;0.173;41;0.169;41;0.166;41;0.169;41;0;0;0;0;0
22pr107_v3_p2;2123;0.182;2123;0.174;2123;0.171;2123;0.168;2123;0.165;2123;0;0;0;0;0
22pr107_v4_p1;41;0.216;41;0.203;41;0.202;41;0.194;41;0.199;41;0;0;0;0;0
22pr107_v4_p2;2123;0.215;2123;0.205;2123;0.199;2123;0.2;2123;0.2;2123;0;0;0;0;0
25pr124_v2_p1;97;0.295;97;0.261;97;0.238;97;0.229;97;0.224;97;0;0;0;0;0
25pr124_v2_p2;4860;0.331;4860;0.267;4860;0.258;4860;0.238;4860;0.221;4860;0;0;0;0;0
25pr124_v3_p1;90;0.341;90;0.295;90;0.278;90;0.278;90;0.263;90;0;0;0;0;0
25pr124_v3_p2;4584;0.346;4584;0.3;4584;0.28;4584;0.274;4584;0.277;4584;0;0;0;0;0
25pr124_v4_p1;90;0.343;90;0.312;90;0.304;90;0.302;90;0.297;90;0;0;0;0;0
25pr124_v4_p2;4584;0.338;4584;0.309;4584;0.308;4584;0.309;4584;0.296;4584;0;0;0;0;0
26bier127_v2_p1;124;0.291;124;0.225;124;0.219;124;0.208;124;0.194;124;0;0;0;0;0
26bier127_v2_p2;6249;0.321;6236;0.246;6249;0.289;6249;0.304;6249;0.304;6249;0;0,002080333;0;0;0
26bier127_v3_p1;125;0.349;125;0.368;125;0.293;125;0.307;125;0.241;125;0;0;0;0;0
26bier127_v3_p2;6314;0.352;6314;0.331;6314;0.37;6314;0.334;6314;0.25;6314;0;0;0;0;0
26bier127_v4_p1;126;0.42;126;0.341;126;0.336;126;0.318;126;0.275;126;0;0;0;0;0
26bier127_v4_p2;6333;0.414;6333;0.37;6333;0.321;6333;0.293;6333;0.277;6333;0;0;0;0;0
26ch130_v2_p1;117;0.387;117;0.338;117;0.282;117;0.296;117;0.384;117;0;0;0;0;0
26ch130_v2_p2;5951;0.409;5951;0.382;5940;0.337;5934;0.313;5951;0.252;5951;0;0;0,001848429;0,002856663;0
26ch130_v3_p1;122;0.444;122;0.424;122;0.355;122;0.329;122;0.315;122;0;0;0;0;0
26ch130_v3_p2;6150;0.496;6150;0.457;6150;0.342;6150;0.337;6150;0.278;6150;0;0;0;0;0
26ch130_v4_p1;124;0.442;124;0.352;124;0.319;124;0.306;124;0.302;124;0;0;0;0;0
26ch130_v4_p2;6280;0.433;6280;0.344;6280;0.325;6280;0.308;6280;0.305;6280;0;0;0;0;0
28pr136_v2_p1;103;0.482;103;0.448;103;0.38;103;0.32;103;0.297;103;0;0;0;0;0
28pr136_v2_p2;5260;0.602;5260;0.488;5260;0.393;5260;0.364;5260;0.359;5260;0;0;0;0;0
